CBSA,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015
0,United States,308745538,308758105,309346863,311718857,314102623,316427395,318907401,321418820
0,In metropolitan statistical area,262452132,262464496,263044201,265420886,267857302,270231023,272736401,275252217
10180,"Abilene, TX Metro Area",165252,165252,165609,166639,167578,167549,168380,169578
10420,"Akron, OH Metro Area",703200,703207,703119,703180,702674,703788,704835,704243
10500,"Albany, GA Metro Area",157308,157500,157665,157805,157370,155864,155020,153526
10540,"Albany, OR Metro Area",116672,116672,116890,118137,118359,118545,119269,120547
10580,"Albany-Schenectady-Troy, NY Metro Area",870716,870713,871112,873222,875542,878542,880091,881830
10740,"Albuquerque, NM Metro Area",887077,887075,889625,897024,901103,903502,904720,907301
10780,"Alexandria, LA Metro Area",153922,153922,154131,154408,154459,154785,154798,154484
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",821173,821303,822157,825219,827115,826766,829731,832327
11020,"Altoona, PA Metro Area",127089,127078,127051,127192,127015,126426,126016,125593
11100,"Amarillo, TX Metro Area",251933,251933,252725,256069,257915,259061,260987,262056
11180,"Ames, IA Metro Area",89542,89542,89633,90956,91868,93627,95456,96021
11260,"Anchorage, AK Metro Area",380821,380821,383166,388174,392404,397414,398642,399790
11460,"Ann Arbor, MI Metro Area",344791,345066,345563,349048,351213,354289,357029,358880
11500,"Anniston-Oxford-Jacksonville, AL Metro Area",118572,118586,118437,117768,117286,116575,115993,115620
11540,"Appleton, WI Metro Area",225666,225666,225944,227482,228641,229927,231483,233007
11700,"Asheville, NC Metro Area",424858,424860,425462,428387,431983,437267,441782,446840
12020,"Athens-Clarke County, GA Metro Area",192541,192541,193451,194618,196397,197892,199029,203189
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5286728,5286727,5303758,5374179,5455324,5523527,5615364,5710795
12100,"Atlantic City-Hammonton, NJ Metro Area",274549,274549,274761,275078,275763,276321,275499,274219
12220,"Auburn-Opelika, AL Metro Area",140247,140296,140782,144087,147899,151506,154426,156993
12260,"Augusta-Richmond County, GA-SC Metro Area",564873,564873,566568,570891,576560,579957,583338,590146
12420,"Austin-Round Rock, TX Metro Area",1716289,1716313,1727627,1781409,1835298,1884439,1943465,2000860
12540,"Bakersfield, CA Metro Area",839631,839631,841682,849949,856576,865787,874190,882176
