,City Location,Company Name,Degree,Description,Job Title,Search Criteria,Source
0,"Cincinnati, OH","Pro4ia, Inc.",user+support,Day-to-day desktop support. Input all service requests and incidents into the helpdesk tool....,Level 1/2 Desktop Support,user+support,Indeed
1,"Columbus, OH 43215","The Woda Group, Inc.",user+support,", is seeking a *Yardi Voyager Support Specialist*. \*The Woda Group does not hire tobacco users in this state. THE WODA GROUP, INC.*....",Yardi Voyager Support Specialist,user+support,Indeed
2,"Fort Wayne, IN","ENS Group, Inc.",user+support,"Knowledge/experience supporting mobile users. Support service desk tickets (remote). Laptop, Smart Phones, push email, helping remote users....",Service Desk Technician,user+support,Indeed
12,"Dayton, OH",Riverside Research,software+development,Produce detailed specifications for software requirements. Expertise in current computer hardware and software systems....,Software Developer,software+development,Indeed
13,"Wright-Patterson AFB, OH",Riverside Research,software+development,Software development and hardware integration experience. Design and development of real-time embedded software....,Software Engineer,software+development,Indeed
14,"Lagrange, OH 44050","SpaceBound, Inc.",software+development,Advanced HTML/CSS development (responsive design/mobile first concepts). Working with the Software Architect to formulate the overall architecture of new...,.NET Web & Application Developers,software+development,Indeed
24,"Indianapolis, IN",Central Restaurant Products,web+development,"We are looking for a Front-End Web Designer/Developer who can help take our web performance to new heights. 2+ years' experience in Web and Graphic design, with...",Front-End Web Designer/Developer (Web & Catalog),web+development,Indeed
25,"Columbus, OH 43215",BLUE Laser Design inc.,web+development,BLUE Laser Design is actively looking to add another qualified web development professional to our team. Writing development specs for developers and clients....,WordPress Website Developer - Frontend,web+development,Indeed
26,"Wilmington, OH 45177",R+L Carriers,web+development,Development of enterprise Web 2.0 applications • Database design and development • Object Oriented Analysis and Design • Preparation of development estimates...,Web Developer,web+development,Indeed
36,"Columbus, OH 43216",OhioHealth,network+manager,"Advanced or formal training in network technologies. Manage the strategic planning, project execution and Service Level Agreements for the Local Area Network...","Manager, Campus Network Services",network+manager,Indeed
37,"Carmel, IN 46032","Baldwin & Lyons, Inc.",network+manager,Network Services Manager. Support and develop corporate connectivity utilizing the current and future carrier’s networks....,Lead Network/Systems Engineer,network+manager,Indeed
38,United States,Amazon Corporate LLC,network+manager,"As head of Ops Tech Network Engineering, you will drive innovation in all production networks. The Ops Tech network infrastructure group builds the local, wide...","Director, Operations Technology Network Engineering- Relocat...",network+manager,Indeed
48,"Dayton, OH 45458",Ping IT Services,network+engineer,Field Network Engineer*. Integrate with other system and network engineers to create solutions for evolving requirements....,Field Network Engineer,network+engineer,Indeed
49,"Louisville, KY 40203",Lang Company,network+engineer,"Due to our rapid growth, Lang Company is looking for a skilled IT/Network Support Engineer to help our customers align leading edge technologies to their...",IT Network Engineer,network+engineer,Indeed
50,"Columbus, OH",Confidential-Construction,network+engineer,"Assists in the development, implementation and maintenance of network communications. Network / Systems -- administration and support....",Support Engineer,network+engineer,Indeed
60,"Carmel, IN",MISO,cyber+security,"Apply knowledge of latest cyber security industry trends, technology tools and practices to define cyber security processes and standards....",Information Security Engineer,cyber+security,Indeed
61,"Dayton, OH",Riverside Research,cyber+security,Ability to obtain and maintain a Secret security clearance. NIST experience in security control assessments and risk assessments....,RMF Specialist,cyber+security,Indeed
62,"Indianapolis, IN",Wabash Valley Power Association,cyber+security,The Network Information Security Analyst will be responsible for:. 1+ years of computer technology or computer security experience required;...,Network Information Security Analyst,cyber+security,Indeed
72,"Dayton, OH",CSRA,user+support,"Provides internal consulting, technical guidance, information, and support to other application developers, computer operations, workstation support, company...",Software Engineer,user+support,Indeed
73,"Huntington, WV","Enlogica Solutions, LLC",user+support,Windows systems that support the Administrative LAN/WAN; Windows and Application systems that support Asset Management;...,Systems Administrator,user+support,Indeed
74,"Washington Court House, OH 43160",Sugar Creek Packing Co.,user+support,"To develop intuitive user interfaces. Support all safety, food quality and sanitation initiatives and policies....",Information Technology - System Architect Junior,user+support,Indeed
75,"Columbus, OH",The Ohio State University,user+support,"
In addition to providing direct end-user support, this position will assist with writing and updating support documentation for other technical support team...",Systems Specialist-A&P,user+support,Indeed
76,"Mason, OH 45040",NSC Global,user+support,"
Communicating with users to understand issues and known solutions. Forwarding incidents which cannot be resolved by the IT Service Desk to the specialist groups...",Service Desk Technician,user+support,Indeed
77,"Dayton, OH 45458","Edaptive Computing, Inc.",user+support,"
The IT Help Desk Technician will be responsible for the day to day support of the company’s IT environment, including end user support, PC installation and...",IT Help Desk Technician,user+support,Indeed
78,"Columbus, OH",Nationwide Children's Hospital,user+support,"
Manages Customer Support Analyst workload by responding to user’s questions, incidents, and requests in accordance to IS Support Center standards....",IS Customer Support Analyst- IS Support Center,user+support,Indeed
