Code,Metro,Class,Population,2010 males,2010 Males pct,2010 females,2010 female pct,2010 Sex ratio1,2010 Total population,2000 males,2000 male pct,2000 female pct,2000 female pct,2000 Sex ratio1,2010 median age,2010 Under 18 years,2010 18 to 24 years,2010 25 to 34 years,010 35 to 44 years,2010 45 to 54 years,55 to 64 years,2010 65 to 74 years,2010 75 years and over,2010 Median,2000 Under 18 years,2000 18 to 24 years,2000 25 to 34 years,2000 35 to 44 years,2000 45 to 54 years,2000 55 to 64 years,2000 65 to 74 years,2000 75 years and over
10180,"Abilene, TX",Metropolitan Statistical Area,165252.00,83018.00,50.20,82234.00,49.80,100.95,160245.00,80083.00,50.00,80162.00,50.00,99.90,34.60,39117.00,21518.00,22755.00,19043.00,22350.00,17886.00,11871.00,10712.00,33.40,41712.00,20660.00,20943.00,24046.00,18846.00,13226.00,10983.00,9829.00
10420,"Akron, OH",Metropolitan Statistical Area,703200.00,340853.00,48.50,362347.00,51.50,94.07,694960.00,335731.00,48.30,359229.00,51.70,93.50,39.50,157253.00,74550.00,82263.00,88971.00,108958.00,91418.00,51103.00,48684.00,36.60,172095.00,66189.00,92041.00,112301.00,98396.00,60678.00,49065.00,44195.00
10500,"Albany, GA",Metropolitan Statistical Area,157308.00,74573.00,47.40,82735.00,52.60,90.13,157833.00,74863.00,47.40,82970.00,52.60,90.20,35.20,40717.00,17784.00,19792.00,19412.00,21772.00,18968.00,10647.00,8216.00,33.10,44676.00,16996.00,21346.00,23395.00,20834.00,13197.00,9608.00,7781.00
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,870716.00,425075.00,48.80,445641.00,51.20,95.39,825875.00,400647.00,48.50,425228.00,51.50,94.20,39.70,186497.00,94069.00,105545.00,113257.00,135943.00,113187.00,62125.00,60093.00,37.10,196928.00,79319.00,108076.00,133973.00,119250.00,72974.00,57514.00,57841.00
10740,"Albuquerque, NM",Metropolitan Statistical Area,887077.00,435807.00,49.10,451270.00,50.90,96.57,729649.00,357619.00,49.00,372030.00,51.00,96.10,36.40,218422.00,87098.00,122205.00,113313.00,128422.00,108655.00,60789.00,48173.00,34.90,192681.00,71095.00,101713.00,118929.00,101928.00,61235.00,43888.00,38180.00
10780,"Alexandria, LA",Metropolitan Statistical Area,153922.00,75972.00,49.40,77950.00,50.60,97.46,145035.00,69579.00,48.00,75456.00,52.00,92.20,36.90,39165.00,13577.00,20662.00,19365.00,22193.00,18258.00,11671.00,9031.00,35.50,39690.00,13460.00,18305.00,22166.00,19051.00,13496.00,10259.00,8608.00
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,821173.00,399699.00,48.70,421474.00,51.30,94.83,740395.00,359018.00,48.50,381377.00,51.50,94.10,40.60,187005.00,73258.00,91993.00,109697.00,130149.00,103925.00,61806.00,63340.00,38.40,176670.00,60357.00,92059.00,123381.00,104933.00,67459.00,57633.00,57903.00
11020,"Altoona, PA",Metropolitan Statistical Area,127089.00,61708.00,48.60,65381.00,51.40,94.38,129144.00,61917.00,47.90,67227.00,52.10,92.10,42.00,26878.00,11858.00,14115.00,15489.00,18804.00,17418.00,11026.00,11501.00,39.50,29282.00,11528.00,15459.00,19424.00,18416.00,12579.00,11127.00,11329.00
11100,"Amarillo, TX",Metropolitan Statistical Area,249881.00,124626.00,49.90,125255.00,50.10,99.50,226522.00,111971.00,49.40,114551.00,50.60,97.70,34.40,65766.00,25668.00,35527.00,31144.00,34672.00,27428.00,15865.00,13811.00,33.70,61386.00,24817.00,30984.00,35088.00,28680.00,18415.00,14693.00,12459.00
11180,"Ames, IA",Metropolitan Statistical Area,89542.00,46412.00,51.80,43130.00,48.20,107.61,79981.00,40887.00,51.10,39094.00,48.90,104.60,26.70,15953.00,25964.00,12769.00,8337.00,9335.00,8239.00,4510.00,4435.00,26.50,15248.00,22657.00,10739.00,9623.00,8743.00,5101.00,3766.00,4104.00
11260,"Anchorage, AK",Metropolitan Statistical Area,380821.00,194249.00,51.00,186572.00,49.00,104.11,319605.00,162499.00,50.80,157106.00,49.20,103.40,33.30,101505.00,40248.00,57027.00,51242.00,58915.00,43676.00,17934.00,10274.00,32.60,94981.00,29292.00,47040.00,59731.00,48287.00,22532.00,11246.00,6496.00
11300,"Anderson, IN",Metropolitan Statistical Area,131636.00,65766.00,50.00,65870.00,50.00,99.84,133358.00,65684.00,49.30,67674.00,50.70,97.10,39.20,30389.00,11913.00,16375.00,17329.00,18850.00,16546.00,10722.00,9512.00,37.40,31776.00,12123.00,17776.00,19977.00,18524.00,13284.00,10367.00,9531.00
11340,"Anderson, SC",Metropolitan Statistical Area,187126.00,90255.00,48.20,96871.00,51.80,93.17,165740.00,80076.00,48.30,85664.00,51.70,93.50,39.70,44825.00,15788.00,21412.00,24889.00,27720.00,24163.00,16113.00,12216.00,37.30,40772.00,13868.00,22393.00,25760.00,23255.00,17065.00,12338.00,10289.00
11460,"Ann Arbor, MI",Metropolitan Statistical Area,344791.00,170132.00,49.30,174659.00,50.70,97.41,322895.00,160558.00,49.70,162337.00,50.30,98.90,33.30,71953.00,58306.00,49337.00,43791.00,47188.00,39265.00,19437.00,15514.00,31.30,71288.00,55199.00,53613.00,50027.00,43460.00,23037.00,13999.00,12272.00
11500,"Anniston-Oxford, AL",Metropolitan Statistical Area,118572.00,57176.00,48.20,61396.00,51.80,93.13,112249.00,53702.00,47.80,58547.00,52.20,91.70,38.20,27126.00,12947.00,14787.00,14627.00,16986.00,15109.00,9437.00,7553.00,37.20,26456.00,11658.00,14432.00,16824.00,15970.00,11037.00,8949.00,6923.00
11540,"Appleton, WI",Metropolitan Statistical Area,225666.00,112673.00,49.90,112993.00,50.10,99.72,201602.00,100596.00,49.90,101006.00,50.10,99.60,37.40,57662.00,18508.00,29811.00,31509.00,36198.00,25519.00,13850.00,12609.00,34.60,56146.00,17233.00,28747.00,35539.00,26407.00,15575.00,11233.00,10722.00
11700,"Asheville, NC",Metropolitan Statistical Area,424858.00,205105.00,48.30,219753.00,51.70,93.33,369171.00,177786.00,48.20,191385.00,51.80,92.90,42.60,86426.00,33217.00,50999.00,54939.00,61316.00,59918.00,41636.00,36407.00,40.20,79076.00,28796.00,47882.00,55633.00,53408.00,39858.00,33568.00,30950.00
12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,192541.00,92678.00,48.10,99863.00,51.90,92.81,166079.00,81235.00,48.90,84844.00,51.10,95.70,29.90,40155.00,41172.00,27602.00,22586.00,22631.00,18997.00,11185.00,8213.00,28.70,36061.00,36684.00,25190.00,22200.00,19122.00,11983.00,7915.00,6924.00
