user+support,Helpdesk Technician,"Sidney, OH","Strong Problem Solving skills Strong Organizational skills Professional, calm demeanor Professional communication skills Able to work positively in a group environment  Computer hardware and software systems and programs  Troubleshooting for all Information Technology systems Computer viruses and security Email and internet programs Basic understanding of Microsoft Operation System and Office Products  A+ Certification (or equivalent work experience) Drivers License ",sent descriptions
software+development,Software Intern,"Dayton, OH","Demonstrated ability to work as part of a team  Knowledge of Object-Oriented Programming languages: Java, C# or C++ are preferred.  Knowledge of web development technologies: HTML, JavaScript, CSS, XML etc.  Experience with Microsoft Office, Microsoft Visual Studio, JIDEA, Subversion ",sent descriptions
software+development,Application Developer ,Dayton,"Visual Studio experience, ver. 2010 and/or 2008.  .NET experience in C#, ASP & VB  SAML 2.0 experience  JavaScripting experience  Sharepoint Content Management experience  Agile/SCRUM & Waterfall development methodology. ",sent descriptions
software+development,Computer Science/Computer Engineering Intern,Dayton,"Currently enrolled in a Bachelor’s or Master’s Computer Engineering or Computer Science program, with a consistently superior academic record in Mathematics and Physics  Knowledge or experience in C++ object modeling and software development  Effective oral and written communication skills  Effective problem solving and debugging skills  Attention to detail and effective time and schedule management skills  Ability to adapt within a small team to support evolving customer requirements ",sent descriptions
software+development,Software Development Intern,"Dayton, OH","In the position of Software Development co-op, you would work in a variety of capacities depending on your skill level. Many software development co-ops start off in the QA (quality assurance) department and then move on to software development. In the software development department, you would write code for assigned modules, which can range from creating screens in HTML to writing JavaScript to writing C# to doing backend work in SQL, participate in functional specification, design, and code reviews, create and conduct unit tests, and live and learn the software development lifecycle and best practices in software development processes. The primary qualification is that you like programming, testing, and troubleshooting. We are looking for students who have completed at least the first year of computer science/engineering courses, including at least two programming courses. The ideal candidate is enthusiastic about computer science/engineering and is proficient in one or more of the following, C#, Net framework, HTML, JavaScript, SQL and a working knowledge of web-based applications and a basic understanding of relational databases. If you dont have a computer science or programming background but youre curious about this ""software business"" you keep hearing about, let us know. We have openings in our QA department that will give you an opportunity to contribute and to decide if a job in the software industry is for you. ",sent descriptions
user+support,User Support Intern,"Dayton, OH","In the position of Information Technology (IT) co-op, you will work alongside the IT team, helping to support a wide range of technology needs for a fast growing company in the Healthcare space.  Candidates will be presented with a fast changing and diverse environment affording them the opportunity to strengthen their analytical, problem solving, and written/oral communication skills.  Depending on the applicants skill level, they will be presented with a myriad of different experiences to help them make informed career decisions as it relates to the Information Technology field.  Assignments and work can consist of any or all of the following depending on skill level:    Helpdesk and technical support calls   Multi-Site, laboratory, and remote support   Inventory and asset management   Hardware/ software installation and troubleshooting   Malware/Antivirus   Project Research and Management  System imaging, equipment setup and configuration  How-To and Process Documentation  ",sent descriptions
network+manager,Network Manager Intern,"Dayton, OH", Knowledge of TCP/IP networking and the OSI Model  - Experience using Windows and Linux operating systems  - Computer problem solving skills.  - Excellent communication and customer service skills ,sent descriptions
user+support,IT Technician,"Mason, OH","Takes, prioritizes and documents help desk calls; troubleshoots computer issues and resolves accordingly  Unpacks, sets up, places and dismantles equipment including cash registers, cash drawers, scanners, personal computers, laptops, monitors, printers and copiers  Builds personal computers and laptops, images, setup and support applications  ",sent descriptions
software+development,Entry Level Programmer,"Dayton, OH", Object Oriented Programming-Knowledge of ASP.net and C# a plus   SQL Server Background  Basic knowledge of HTML & CSS ,sent descriptions
software+development,Software Developer,"Dayton, OH","3-5 years’ experience   Proven track record of programming and software design experience   Ability to develop and coordinate project plans in a timely manor  Strong technical troubleshooting and analytical skills  Ability to communicate information service concepts to a broad range of technical and non-technical staff  Focus on understanding data in a SQL server environment   C#, SQL, HTML, CSS, JSON, JavaScript, ASP.NET Web Forms, ASP.NET MVC, Visual Studio  SQL Server, Object-Oriented Programming/Design, Debugging/Testing Experience, AJAX    ",sent descriptions
user+support,IT Helpdesk,"Dayton, OH","Responds to requests for technical assistance in person, via phone, electronically  Diagnoses and resolves technical hardware and software issues  Researches questions using available information resources  Advises user on appropriate action  Logs all help desk interactions  Administers help desk software  Redirects problems to appropriate resource  Identifies and escalates situations requiring urgent attention  Tracks and routes problems and requests, and documents resolutions  Stays current with system information, changes and updates  Other duties as assigned  ",sent descriptions
user+support,Information Technology Intern,"Dayton, OH","Achieving or working towards Associate or Bachelor degree in IT related study  Must be customer-service and results oriented, able to handle multiple tasks simultaneously, while focusing on details of tasks  Working knowledge of Microsoft Office 2007/2010, Windows 7 environments  Knowledge of Active Directory and Group Policy a plus  Hands-on experience with deployment and/or support of client  systems  Phone and people skills which promote end-user satisfaction  Excellent verbal and written communication skills and the ability to interact professionally with a diverse group, executives, managers, and subject matter experts  ",sent descriptions
software+development,Embedded Software Engineer,"Dayton, OH","This is an entry level intern position requiring some programming experience preferably in C, C++, Java and or C#.",sent descriptions
user+support,Information Systems Intern,"Dayton, OH","Customer oriented attitude, ability to communicate with non-technical staff, proficient with Windows 7, knowledge of fundamental networking concepts (IPv4, DNS, DHCP, etc.)  ",sent descriptions
user+support,IT Support Associate,"Dayton, OH"," Basic computer networking skills. 2+ years experience in Technical Support required, Minimum computer hardware and software knowledge and certificates a plus (MSCE, Cisco, DBA, .net Programming) Experience in coordinating efforts and escalating incidents within a tiered support infrastructure, including field services representatives, engineering and development technicians, and vendors.",sent descriptions
user+support,Information Technology Intern,"Dayton, OH",In the process of obtaining an IT-related degree.  Experience with Microsoft Operating Systems a plus.  Proficient with Microsoft Office software.  Networking platform experience a plus.  Excellent attention to detail and communication skills.    ,sent descriptions
user+support,IT Specialist,"Dayton, OH","Typically requires a minimum one year of desktop support or IT help desk experience  Proficiency researching and troubleshooting complex problems and errors  Demonstrated ability with basic networking and telephony  Demonstrated ability to research, plan, document, and execute complex tasks/projects  Excellent written and oral communication skills  Excellent interpersonal and customer service skills  Excellent work ethic and dedication  Associate’s (or equivalent) degree in Computer Science or Information Technology from a technical school, college, or equivalent combination of education and experience preferred  CompTIA Network+, Server+, Security+ preferred  Other industry standard certifications a plus  ",sent descriptions
software+development,Software Engineering Tester Co-op ,"Dayton, OH",Visual Studio  Automated Testing Unit/Integration/System Testing .NET Framework C# * ASP.NET MVC  HTML JavaScript CSS/LESS XML/JSON SQL Server/T-SQL ,sent descriptions
dayton+science,Junior Big Data Developer,"Dayton, OH","Excellent verbal and written communication skills and the ability to interact professionally with a diverse group, executives, managers, and subject matter experts  Ability to successfully pass a post-offer pre-employment drug test and background screen  Outstanding problem-solving skills  Desire to grow career within Big Data   Bachelors or MS Degree in Computer Science, Mathematics, or comparable academic discipline  Experience with SQL Server or other relational database management system  Knowledge of open-source tools, technologies, platforms, or databases such as Hadoop, Hive, Pig, Hue, MySQL, MongoDB, etc.  Java/Scala experience  Experience debugging, profiling and load testing on JVM  General Linux and shell scripting  Proficient with SQL  Apache HDFS, Hive, MapReduce, YARN, Spark  Spring Data, Batch, Integration  The Big Data Developer will work with both internal and external partners to ensure that respective data sets are ingested into our Big Data Platform  The Developer also follows best practices outlined to them by management. This includes meeting outlined expectations and performing various data analytic duties  The appropriate candidate will also assist with analytic tooling enablement and capability within the Big Data platform   ",sent descriptions
software+development,Junior Java Developer,"Dayton, OH","Excellent verbal and written communication skills and the ability to interact professionally with a diverse group, executives, managers, and subject matter experts  Ability to successfully pass a post-offer pre-employment drug test and background screen  Outstanding problem-solving skills  Bachelor’s degree in computer science, computer or software engineering, information systems or equivalent technical discipline   At least 2 years professional experience implementing Java solutions   Experience with J2EE, Spring Framework, JUnit or other unit testing package  Experience with JavaScript, Jquery, Angular.js or other front-end javascript library  Experience in mobile development a plus  Proven track record in delivering quality software  Knowledge of source control systems, tagging and branching techniques  Solid fundamental knowledge of object oriented design  Ability to debug live application code  Knowledge of commonly used development IDEs  Basic knowledge of databases and SQL  Ability to analyze business/functional/non-functional requirements   ",sent descriptions
web+development,Junior Web Developer,"Dayton, OH","Excellent verbal and written communication skills and the ability to interact professionally with a diverse group, executives, managers, and subject matter experts  Ability to successfully pass a post-offer pre-employment drug test and background screen  Outstanding problem-solving skills  Bachelor’s degree in computer science, computer or software engineering, information systems or equivalent technical discipline   At least 2 years professional experience implementing web solutions   Basic understanding of databases and SQL  Fluency in Java or .Net  Fluency in JavaScript, Jquery, Angular.js or other front-end JavaScript library  Experience in mobile development and or web services/SOAP/REST a plus  Knowledge of commonly used development IDEs  Fluency in build, dependency, and deployment tools such as Maven or Gradle  Expertise with deploying to and running application servers such as Tomcat, Jboss or Websphere  Ability to analyze business/functional/non-functional requirements   Knowledge of J2EE a plus  ",sent descriptions
user+support,Help Desk/Network Administration Intern,"Dayton, OH","3.0 gpa  Planning on pursuing a career in information technology  Good customer service, writing, and speaking skills  Working knowledge of Microsoft Windows 7 required, Windows 8-10 are a plus  Basic knowledge of Active Directory, Windows Server management and basic networking concepts are pluses but not necessarily required.  Student will have the opportunity to learn about these subjects as part of their internship  Linux knowledge a plus but not required, if interested student can learn basic Linux administration skills as part of the internship  Valid driver’s license is required ",sent descriptions
user+support,Service and Support Technician for Mobile Devices,"Dayton, OH",Customer service  Self-motivated  Work independently with limited supervision  Microsoft Office   Knowledge of Google Applications  Apple apps and iOS knowledge  ,sent descriptions
network+manager,SharePoint Developer Intern,"Dayton, OH","Experience in analyzing customer needs and developing overall concept and design objectives  Experience with Visual Studio 2010 or greater      Ability to configure and manage SQL Server databases desired  Excellent problem solving and analytical/technical troubleshooting skills  Excellent customer service skills, effective in oral and written communications particularly in documenting work and communicating technical information to non-technical users  Ability to understand business requirement and technical design  Exposure to the use of Share Point Designer 2010/2013, InfoPath Form Services, JQuery, XSLT, CAML, LINQ, CSS, JavaScript, dynamic HTML 5 and SP designer workflow 2010/2013  Technical writing and training skills.  Ability to communicate to technical and non-technical associates through all levels of the organization     Ability to work independently and multi-task in a dynamic and often changing environment     Ability to work successfully as both an individual and team contributor  ",sent descriptions
software+development,Software Developer – Java,"Dayton, OH","Four-year degree in Computer Science or related field of study  4+ years experience of experience with Java (Student or On the Job)  Experience with JavaScript, CSS, HTML, etc  Experience implementing and interfacing to RESTful APIs  Experience with the Spring Web Framework Suite   Experience with XML or JSON  Experience with MySql or MSSQL  Experience working in SCM (Preferably Git)  ",sent descriptions
software+development,Software Developer,"Dayton, OH","Minimum of a Technical or Associates Degree in a software development related program  You possess fundamental knowledge of web browser applications, web services, http servers, HTML, CSS, and JavaScript  Experience with application development in ILE RPG, CL and/or Cobol on the IBM i platform not required, but is a plus.  Excellent written and verbal skills  Strong time management skills  Willingness to take on additional tasks and multitask as needed  You are a well-rounded developer with the desire to learn new skills   You enjoy working with users to gather requirements and transforming these requirements into working solutions   You are eager to learn new languages and broaden your skills     ",sent descriptions
user+support,Help Desk,"Dayton, OH",CIS 1107 Introduction to Operating SystemsOR  CIS 1111 Introduction to Problem Solving & Computer Programming    OR  CIS 1411 Cisco Network Fundamentals    OR  CIS 2510 Microsoft Windows Server Operating System  ,sent descriptions
user+support,INFORMATION  TECHNOLOGY  INTERNSHI,"Dayton, OH","Experience with configuring and troubleshooting Microsoft Windows workstations and working with Microsoft Office products.  Understanding of basic networking and TCP/IP.    Experience with Microsoft Windows Server 2003/2008/2012    Applicant must be enrolled in an associates or bachelors program (MIS, CS, CE or related majors) ",sent descriptions
